symbol,name,country
EUR,Euro,
USD,US Dollar,United States
JPY,Japanese Yen,Japan
BGN,Bulgarian Lev,Bulgaria
CYP,Cypriot Pound,Cyprus
CZK,Czech Koruna,Czech Republic
DKK,Danish Krone,Denmark
EEK,Estonian Kroon,Estonia
GBP,Pound Sterling,United Kingdom
HUF,Hungarian Forint,Hungary
LTL,Lithuanian Litas,Lithuania
LVL,Latvian Lats,Latvia
MTL,Maltese Lira,Malta
PLN,Polish Zloty,Poland
ROL,Romanian Leu (old),Romania
RON,Romanian Leu,Romania
SEK,Swedish Krona,Sweden
SIT,Slovenian Tolar,Slovenia
SKK,Slovak Koruna,Slovakia
CHF,Swiss Franc,Switzerland
ISK,Icelandic Króna,Iceland
NOK,Norwegian Krone,Norway
HRK,Croatian Kuna,Croatia
RUB,Russian Ruble,Russia
TRL,Turkish Lira (old),Turkey
TRY,Turkish Lira,Turkey
AUD,Australian Dollar,Australia
BRL,Brazilian Real,Brazil
CAD,Canadian Dollar,Canada
CNY,Yuan Renminbi,China
HKD,Hong Kong Dollar,Hong Kong
IDR,Rupiah,Indonesia
ILS,New Israeli Shekel,Israel
INR,Indian Rupee,India
KRW,South Korean Won,South Korea
MXN,Mexican Peso,Mexico
MYR,Malaysian Ringgit,Malaysia
NZD,New Zealand Dollar,New Zealand
PHP,Philippine Peso,Philippines
SGD,Singapore Dollar,Singapore
THB,Thai Baht,Thailand
ZAR,South African Rand,South Africa
XDR,Special Drawing Rights,
JMD,Jamaican Dollar,Jamaica
KWD,Kuwaiti Dinar,Kuwait
NGN,Nigerian Naira,Nigeria
SAR,Saudi Riyal,Saudi Arabia
SRD,Surinamese Dollar,Suriname
TWD,New Taiwan Dollar,Taiwan
VEF,Venezuelan Bolívar (old),Venezuela
ATS,Austrian Schilling,Austria
BEF,Belgian Franc,Belgium
DEM,Deutsche Mark,Germany
ESP,Spanish Peseta,Spain
FIM,Finnish Markka,Finland
FRF,French Franc,France
GRD,Greek Drachma,Greece
IEP,Irish Pound,Ireland
ITL,Italian Lira,Italy
NLG,Dutch Guilder,Netherlands
PTE,Portuguese Escudo,Portugal
LKR,Sri Lankan Rupee,Sri Lanka
VES,Venezuelan Bolívar Soberano,Venezuela
